glfw_km_key_id,glfw_name,glfw_code,glfw_canon
unknown,GLFW_KEY_UNKNOWN,-1,1
space,GLFW_KEY_SPACE,32,1
quote,GLFW_KEY_APOSTROPHE,39,1
comma,GLFW_KEY_COMMA,44,1
minus,GLFW_KEY_MINUS,45,1
period,GLFW_KEY_PERIOD,46,1
slash,GLFW_KEY_SLASH,47,1
digit0,GLFW_KEY_0,48,1
digit1,GLFW_KEY_1,49,1
digit2,GLFW_KEY_2,50,1
digit3,GLFW_KEY_3,51,1
digit4,GLFW_KEY_4,52,1
digit5,GLFW_KEY_5,53,1
digit6,GLFW_KEY_6,54,1
digit7,GLFW_KEY_7,55,1
digit8,GLFW_KEY_8,56,1
digit9,GLFW_KEY_9,57,1
semicolon,GLFW_KEY_SEMICOLON,59,1
equal,GLFW_KEY_EQUAL,61,1
key_a,GLFW_KEY_A,65,1
key_b,GLFW_KEY_B,66,1
key_c,GLFW_KEY_C,67,1
key_d,GLFW_KEY_D,68,1
key_e,GLFW_KEY_E,69,1
key_f,GLFW_KEY_F,70,1
key_g,GLFW_KEY_G,71,1
key_h,GLFW_KEY_H,72,1
key_i,GLFW_KEY_I,73,1
key_j,GLFW_KEY_J,74,1
key_k,GLFW_KEY_K,75,1
key_l,GLFW_KEY_L,76,1
key_m,GLFW_KEY_M,77,1
key_n,GLFW_KEY_N,78,1
key_o,GLFW_KEY_O,79,1
key_p,GLFW_KEY_P,80,1
key_q,GLFW_KEY_Q,81,1
key_r,GLFW_KEY_R,82,1
key_s,GLFW_KEY_S,83,1
key_t,GLFW_KEY_T,84,1
key_u,GLFW_KEY_U,85,1
key_v,GLFW_KEY_V,86,1
key_w,GLFW_KEY_W,87,1
key_x,GLFW_KEY_X,88,1
key_y,GLFW_KEY_Y,89,1
key_z,GLFW_KEY_Z,90,1
bracket_left,GLFW_KEY_LEFT_BRACKET,91,1
backslash,GLFW_KEY_BACKSLASH,92,1
bracket_right,GLFW_KEY_RIGHT_BRACKET,93,1
backquote,GLFW_KEY_GRAVE_ACCENT,96,1
unknown,GLFW_KEY_WORLD_1,161,0
unknown,GLFW_KEY_WORLD_2,162,0
escape,GLFW_KEY_ESCAPE,256,1
enter,GLFW_KEY_ENTER,257,1
tab,GLFW_KEY_TAB,258,1
backspace,GLFW_KEY_BACKSPACE,259,1
insert,GLFW_KEY_INSERT,260,1
delete,GLFW_KEY_DELETE,261,1
arrow_right,GLFW_KEY_RIGHT,262,1
arrow_left,GLFW_KEY_LEFT,263,1
arrow_down,GLFW_KEY_DOWN,264,1
arrow_up,GLFW_KEY_UP,265,1
page_up,GLFW_KEY_PAGE_UP,266,1
page_down,GLFW_KEY_PAGE_DOWN,267,1
move_home,GLFW_KEY_HOME,268,1
move_end,GLFW_KEY_END,269,1
caps_lock,GLFW_KEY_CAPS_LOCK,280,1
scroll_lock,GLFW_KEY_SCROLL_LOCK,281,1
kp_num_lock,GLFW_KEY_NUM_LOCK,282,1
print_screen,GLFW_KEY_PRINT_SCREEN,283,1
pause,GLFW_KEY_PAUSE,284,1
f1,GLFW_KEY_F1,290,1
f2,GLFW_KEY_F2,291,1
f3,GLFW_KEY_F3,292,1
f4,GLFW_KEY_F4,293,1
f5,GLFW_KEY_F5,294,1
f6,GLFW_KEY_F6,295,1
f7,GLFW_KEY_F7,296,1
f8,GLFW_KEY_F8,297,1
f9,GLFW_KEY_F9,298,1
f10,GLFW_KEY_F10,299,1
f11,GLFW_KEY_F11,300,1
f12,GLFW_KEY_F12,301,1
f13,GLFW_KEY_F13,302,1
f14,GLFW_KEY_F14,303,1
f15,GLFW_KEY_F15,304,1
f16,GLFW_KEY_F16,305,1
f17,GLFW_KEY_F17,306,1
f18,GLFW_KEY_F18,307,1
f19,GLFW_KEY_F19,308,1
f20,GLFW_KEY_F20,309,1
f21,GLFW_KEY_F21,310,1
f22,GLFW_KEY_F22,311,1
f23,GLFW_KEY_F23,312,1
f24,GLFW_KEY_F24,313,1
f25,GLFW_KEY_F25,314,1
kp_0,GLFW_KEY_KP_0,320,1
kp_1,GLFW_KEY_KP_1,321,1
kp_2,GLFW_KEY_KP_2,322,1
kp_3,GLFW_KEY_KP_3,323,1
kp_4,GLFW_KEY_KP_4,324,1
kp_5,GLFW_KEY_KP_5,325,1
kp_6,GLFW_KEY_KP_6,326,1
kp_7,GLFW_KEY_KP_7,327,1
kp_8,GLFW_KEY_KP_8,328,1
kp_9,GLFW_KEY_KP_9,329,1
kp_decimal,GLFW_KEY_KP_DECIMAL,330,1
kp_divide,GLFW_KEY_KP_DIVIDE,331,1
kp_multiply,GLFW_KEY_KP_MULTIPLY,332,1
kp_subtract,GLFW_KEY_KP_SUBTRACT,333,1
kp_add,GLFW_KEY_KP_ADD,334,1
kp_enter,GLFW_KEY_KP_ENTER,335,1
kp_equal,GLFW_KEY_KP_EQUAL,336,1
shift_left,GLFW_KEY_LEFT_SHIFT,340,1
control_left,GLFW_KEY_LEFT_CONTROL,341,1
alt_left,GLFW_KEY_LEFT_ALT,342,1
meta_left,GLFW_KEY_LEFT_SUPER,343,1
shift_right,GLFW_KEY_RIGHT_SHIFT,344,1
control_right,GLFW_KEY_RIGHT_CONTROL,345,1
alt_right,GLFW_KEY_RIGHT_ALT,346,1
meta_right,GLFW_KEY_RIGHT_SUPER,347,1
context_menu,GLFW_KEY_MENU,348,1
