imgui_km_key_id,imgui_name,imgui_description
unknown,None,
tab,Tab,
arrow_left,LeftArrow,
arrow_right,RightArrow,
arrow_up,UpArrow,
arrow_down,DownArrow,
page_up,PageUp,
page_down,PageDown,
move_home,Home,
move_end,End,
insert,Insert,
delete,Delete,
backspace,Backspace,
space,Space,
enter,Enter,
escape,Escape,
control_left,LeftCtrl,
shift_left,LeftShift,
alt_left,LeftAlt,
meta_left,LeftSuper,
control_right,RightCtrl,
shift_right,RightShift,
alt_right,RightAlt,
meta_right,RightSuper,
context_menu,Menu,
digit0,0,
digit1,1,
digit2,2,
digit3,3,
digit4,4,
digit5,5,
digit6,6,
digit7,7,
digit8,8,
digit9,9,
key_a,A,
key_b,B,
key_c,C,
key_d,D,
key_e,E,
key_f,F,
key_g,G,
key_h,H,
key_i,I,
key_j,J,
key_k,K,
key_l,L,
key_m,M,
key_n,N,
key_o,O,
key_p,P,
key_q,Q,
key_r,R,
key_s,S,
key_t,T,
key_u,U,
key_v,V,
key_w,W,
key_x,X,
key_y,Y,
key_z,Z,
f1,F1,
f2,F2,
f3,F3,
f4,F4,
f5,F5,
f6,F6,
f7,F7,
f8,F8,
f9,F9,
f10,F10,
f11,F11,
f12,F12,
f13,F13,
f14,F14,
f15,F15,
f16,F16,
f17,F17,
f18,F18,
f19,F19,
f20,F20,
f21,F21,
f22,F22,
f23,F23,
f24,F24,
quote,Apostrophe,'
comma,Comma,","
minus,Minus,-
period,Period,.
slash,Slash,/
semicolon,Semicolon,;
equal,Equal,=
bracket_left,LeftBracket,[
backslash,Backslash,\
bracket_right,RightBracket,]
backquote,GraveAccent,`
caps_lock,CapsLock,
scroll_lock,ScrollLock,
kp_num_lock,NumLock,
print_screen,PrintScreen,
pause,Pause,
kp_0,Keypad0,
kp_1,Keypad1,
kp_2,Keypad2,
kp_3,Keypad3,
kp_4,Keypad4,
kp_5,Keypad5,
kp_6,Keypad6,
kp_7,Keypad7,
kp_8,Keypad8,
kp_9,Keypad9,
kp_decimal,KeypadDecimal,
kp_divide,KeypadDivide,
kp_multiply,KeypadMultiply,
kp_subtract,KeypadSubtract,
kp_add,KeypadAdd,
kp_enter,KeypadEnter,
,KeypadEqual,
,AppBack,"Available on some keyboard/mouses. Often referred as ""Browser Back"""
,AppForward,
,GamepadStart,Menu (Xbox)      + (Switch)   Start/Options (PS)
,GamepadBack,View (Xbox)      - (Switch)   Share (PS)
,GamepadFaceLeft,X (Xbox)         Y (Switch)   Square (PS)        // Tap: Toggle Menu. Hold: Windowing mode (Focus/Move/Resize windows)
,GamepadFaceRight,B (Xbox)         A (Switch)   Circle (PS)        // Cancel / Close / Exit
,GamepadFaceUp,Y (Xbox)         X (Switch)   Triangle (PS)      // Text Input / On-screen Keyboard
,GamepadFaceDown,A (Xbox)         B (Switch)   Cross (PS)         // Activate / Open / Toggle / Tweak
,GamepadDpadLeft,D-pad Left                                       // Move / Tweak / Resize Window (in Windowing mode)
,GamepadDpadRight,D-pad Right                                      // Move / Tweak / Resize Window (in Windowing mode)
,GamepadDpadUp,D-pad Up                                         // Move / Tweak / Resize Window (in Windowing mode)
,GamepadDpadDown,D-pad Down                                       // Move / Tweak / Resize Window (in Windowing mode)
,GamepadL1,L Bumper (Xbox)  L (Switch)   L1 (PS)            // Tweak Slower / Focus Previous (in Windowing mode)
,GamepadR1,R Bumper (Xbox)  R (Switch)   R1 (PS)            // Tweak Faster / Focus Next (in Windowing mode)
,GamepadL2,L Trig. (Xbox)   ZL (Switch)  L2 (PS) [Analog]
,GamepadR2,R Trig. (Xbox)   ZR (Switch)  R2 (PS) [Analog]
,GamepadL3,L Stick (Xbox)   L3 (Switch)  L3 (PS)
,GamepadR3,R Stick (Xbox)   R3 (Switch)  R3 (PS)
,GamepadLStickLeft,[Analog]                                         // Move Window (in Windowing mode)
,GamepadLStickRight,[Analog]                                         // Move Window (in Windowing mode)
,GamepadLStickUp,[Analog]                                         // Move Window (in Windowing mode)
,GamepadLStickDown,[Analog]                                         // Move Window (in Windowing mode)
,GamepadRStickLeft,[Analog]
,GamepadRStickRight,[Analog]
,GamepadRStickUp,[Analog]
,GamepadRStickDown,[Analog]
,MouseLeft,
,MouseRight,
,MouseMiddle,
,MouseX1,
,MouseX2,
,MouseWheelX,
,MouseWheelY,
