Usage ID,Usage ID (hex),Usage Name,Usage Type,AT-101,PC-AT,Mac,Unix,Boot
1,0x01,Keyboard ErrorRollOver,Sel,N/A,1,1,1,4/101/104
2,0x02,Keyboard POSTFail,Sel,N/A,1,1,1,4/101/104
3,0x03,Keyboard ErrorUndefined,Sel,N/A,1,1,1,4/101/104
4,0x04,Keyboard a and A,Sel,31,1,1,1,4/101/104
5,0x05,Keyboard b and B,Sel,50,1,1,1,4/101/104
6,0x06,Keyboard c and C,Sel,48,1,1,1,4/101/104
7,0x07,Keyboard d and D,Sel,33,1,1,1,4/101/104
8,0x08,Keyboard e and E,Sel,19,1,1,1,4/101/104
9,0x09,Keyboard f and F,Sel,34,1,1,1,4/101/104
10,0x0A,Keyboard g and G,Sel,35,1,1,1,4/101/104
11,0x0B,Keyboard h and H,Sel,36,1,1,1,4/101/104
12,0x0C,Keyboard i and I,Sel,24,1,1,1,4/101/104
13,0x0D,Keyboard j and J,Sel,37,1,1,1,4/101/104
14,0x0E,Keyboard k and K,Sel,38,1,1,1,4/101/104
15,0x0F,Keyboard l and L,Sel,39,1,1,1,4/101/104
16,0x10,Keyboard m and M,Sel,52,1,1,1,4/101/104
17,0x11,Keyboard n and N,Sel,51,1,1,1,4/101/104
18,0x12,Keyboard o and O,Sel,25,1,1,1,4/101/104
19,0x13,Keyboard p and P,Sel,26,1,1,1,4/101/104
20,0x14,Keyboard q and Q,Sel,17,1,1,1,4/101/104
21,0x15,Keyboard r and R,Sel,20,1,1,1,4/101/104
22,0x16,Keyboard s and S,Sel,32,1,1,1,4/101/104
23,0x17,Keyboard t and T,Sel,21,1,1,1,4/101/104
24,0x18,Keyboard u and U,Sel,23,1,1,1,4/101/104
25,0x19,Keyboard v and V,Sel,49,1,1,1,4/101/104
26,0x1A,Keyboard w and W,Sel,18,1,1,1,4/101/104
27,0x1B,Keyboard x and X,Sel,47,1,1,1,4/101/104
28,0x1C,Keyboard y and Y,Sel,22,1,1,1,4/101/104
29,0x1D,Keyboard z and Z,Sel,46,1,1,1,4/101/104
30,0x1E,Keyboard 1 and !,Sel,2,1,1,1,4/101/104
31,0x1F,Keyboard 2 and @,Sel,3,1,1,1,4/101/104
