web_km_key_id,web_code,web_canon
abort,Abort,1
again,Again,1
alt_left,AltLeft,1
alt_right,AltRight,1
arrow_down,ArrowDown,1
arrow_left,ArrowLeft,1
arrow_right,ArrowRight,1
arrow_up,ArrowUp,1
audio_volume_down,VolumeDown,0
audio_volume_down,AudioVolumeDown,1
audio_volume_mute,AudioVolumeMute,1
audio_volume_up,VolumeUp,0
audio_volume_up,AudioVolumeUp,1
backquote,Backquote,1
backslash,Backslash,1
backspace,Backspace,1
bracket_left,BracketLeft,1
bracket_right,BracketRight,1
browser_back,BrowserBack,1
browser_favorites,BrowserFavorites,1
browser_forward,BrowserForward,1
browser_home,BrowserHome,1
browser_refresh,BrowserRefresh,1
browser_search,BrowserSearch,1
browser_stop,BrowserStop,1
caps_lock,CapsLock,1
comma,Comma,1
context_menu,ContextMenu,1
control_left,ControlLeft,1
control_right,ControlRight,1
convert,Convert,1
copy,Copy,1
cut,Cut,1
delete,Delete,1
digit0,Digit0,1
digit1,Digit1,1
digit2,Digit2,1
digit3,Digit3,1
digit4,Digit4,1
digit5,Digit5,1
digit6,Digit6,1
digit7,Digit7,1
digit8,Digit8,1
digit9,Digit9,1
eject,Eject,1
move_end,End,1
enter,Enter,1
equal,Equal,1
escape,Escape,1
f1,F1,1
f10,F10,1
f11,F11,1
f12,F12,1
f13,F13,1
f14,F14,1
f15,F15,1
f16,F16,1
f17,F17,1
f18,F18,1
f19,F19,1
f2,F2,1
f20,F20,1
f21,F21,1
f22,F22,1
f23,F23,1
f24,F24,1
f3,F3,1
f4,F4,1
f5,F5,1
f6,F6,1
f7,F7,1
f8,F8,1
f9,F9,1
find,Find,1
fn,Fn,1
fn_lock,FnLock,1
help,Help,1
hiragana,Hiragana,1
move_home,Home,1
hyper,Hyper,1
insert,Insert,1
intl_backslash,IntlBackslash,1
intl_ro,IntlRo,1
intl_yen,IntlYen,1
kana_mode,KanaMode,1
katakana,Katakana,1
key_a,KeyA,1
key_b,KeyB,1
key_c,KeyC,1
key_d,KeyD,1
key_e,KeyE,1
key_f,KeyF,1
key_g,KeyG,1
key_h,KeyH,1
key_i,KeyI,1
key_j,KeyJ,1
key_k,KeyK,1
key_l,KeyL,1
key_m,KeyM,1
key_n,KeyN,1
key_o,KeyO,1
key_p,KeyP,1
key_q,KeyQ,1
key_r,KeyR,1
key_s,KeyS,1
key_t,KeyT,1
key_u,KeyU,1
key_v,KeyV,1
key_w,KeyW,1
key_x,KeyX,1
key_y,KeyY,1
key_z,KeyZ,1
lang1,Lang1,1
lang2,Lang2,1
lang3,Lang3,1
lang4,Lang4,1
lang5,Lang5,1
launch_app1,LaunchApp1,1
launch_app2,LaunchApp2,1
launch_mail,LaunchMail,1
media_play_pause,MediaPlayPause,1
media_select,MediaSelect,1
media_stop,MediaStop,1
media_track_next,MediaTrackNext,1
media_track_previous,MediaTrackPrevious,1
meta_left,OSLeft,0
meta_left,MetaLeft,1
meta_right,OSRight,0
meta_right,MetaRight,1
minus,Minus,1
non_convert,NonConvert,1
kp_0,Numpad0,1
kp_1,Numpad1,1
kp_2,Numpad2,1
kp_3,Numpad3,1
kp_4,Numpad4,1
kp_5,Numpad5,1
kp_6,Numpad6,1
kp_7,Numpad7,1
kp_8,Numpad8,1
kp_9,Numpad9,1
kp_add,NumpadAdd,1
kp_backspace,NumpadBackspace,1
kp_clear,NumpadClear,1
kp_clear_entry,NumpadClearEntry,1
kp_comma,NumpadComma,1
kp_decimal,NumpadDecimal,1
kp_divide,NumpadDivide,1
kp_enter,NumpadEnter,1
kp_equal,NumpadEqual,1
kp_hash,NumpadHash,1
kp_num_lock,NumLock,1
kp_memory_add,NumpadMemoryAdd,1
kp_memory_clear,NumpadMemoryClear,1
kp_memory_recall,NumpadMemoryRecall,1
kp_memory_store,NumpadMemoryStore,1
kp_memory_subtract,NumpadMemorySubtract,1
kp_multiply,NumpadMultiply,1
kp_paren_left,NumpadParenLeft,1
kp_paren_right,NumpadParenRight,1
kp_star,NumpadStar,1
kp_subtract,NumpadSubtract,1
open,Open,1
page_down,PageDown,1
page_up,PageUp,1
paste,Paste,1
pause,Pause,1
period,Period,1
power,Power,1
print_screen,PrintScreen,1
props,Props,1
quote,Quote,1
resume,Resume,1
scroll_lock,ScrollLock,1
select,Select,1
semicolon,Semicolon,1
shift_left,ShiftLeft,1
shift_right,ShiftRight,1
slash,Slash,1
sleep,Sleep,1
space,Space,1
super,Super,1
suspend,Suspend,1
tab,Tab,1
turbo,Turbo,1
undo,Undo,1
unknown,"",0
unknown,Unidentified,1
wake_up,WakeUp,1
